date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-01-01,146834,141117,132157,124264,118132,115424,115966,117857,117670,120636,131248,139906,144204,147600,148568,141087,137795,140318,156288,165457,171563,175309,172195,159458.0
2017-01-02,143914,130578,122994,119329,118373,122091,134985,153716,169952,183225,196095,200911,200276,200937,196514,191353,189032,192392,203517,207996,209675,208212,197361,180042.0
2017-01-03,163693,149531,139874,136777,135006,138748,151426,173025,192361,207595,216296,217508,213798,213184,206627,200819,198672,201358,212371,215953,217262,214419,202046,184097.0
2017-01-04,167281,152964,144316,140374,139189,141540,153715,175226,192779,206505,213498,212656,208445,207901,202160,196757,195004,197124,207352,211739,211690,211427,201631,184728.0
2017-01-05,168956,153819,145109,140653,139125,141012,151185,170638,186695,200409,207475,207943,203230,200823,193182,185370,182776,182361,189880,191182,190835,190856,182893,171684.0
2017-01-06,160151,146237,135401,129525,127143,126393,127735,133996,136617,146184,157651,162579,161294,161859,158482,149891,145701,146947,161335,170835,176511,180316,178969,167807.0
2017-01-07,156552,144260,134747,129415,128081,129236,134341,142820,152454,165959,180458,183352,180594,181532,180350,173977,169654,170738,185061,195145,198527,199231,191435,178137.0
2017-01-08,162349,148635,137568,131835,129180,129377,132199,136488,140911,150902,166394,172350,172576,173217,174936,168819,164268,164818,181428,193544,202219,203296,194060,176954.0
2017-01-09,158999,145790,138638,135662,135468,138640,155414,187138,212533,220993,224951,223071,219496,217920,210859,207661,206552,208848,222370,230187,231397,229020,211352,189732.0
2017-01-10,173708,159352,150582,146289,145427,148987,164427,193764,216673,223668,228545,228936,226656,225244,218188,214448,213517,216096,226562,232714,233557,228315,211136,190438.0
2017-01-11,172205,158608,149524,146714,145177,149166,163484,192562,213857,218340,221141,219267,215075,213767,206659,202913,201865,205323,216238,225503,227528,224625,208416,188249.0
2017-01-12,171150,157877,149208,145596,145075,148580,161705,190873,211656,216582,217976,215089,211876,210188,203136,200017,199530,202417,214301,221978,222962,219105,203393,183180.0
2017-01-13,167765,155379,146586,142698,142249,145872,160160,188612,207559,212073,216220,215844,213406,212766,205758,201784,200115,201815,212670,220536,220173,217323,203932,187523.0
2017-01-14,173741,160661,150613,145576,143435,143312,145309,154713,164713,180098,194428,197260,193636,192840,189958,182446,177544,177228,189637,200910,203741,204433,195504,181597.0
2017-01-15,166828,152733,142315,136619,134015,133319,135310,140656,144995,156925,172127,178313,178497,179502,179708,171517,167554,166996,180431,193968,201677,202809,196699,180811.0
2017-01-16,163626,150105,141837,139040,137482,141596,159779,191321,214864,222597,226318,223293,219984,219412,212801,208712,207716,208510,219653,228979,230770,226940,209957,188947.0
2017-01-17,173448,159442,151391,149045,148225,151122,165364,194667,215635,222247,227203,225863,223303,222466,214262,212123,212074,213985,225378,237492,239083,235025,218480,196335.0
2017-01-18,178514,164932,156013,153321,152480,155500,170114,200150,224615,234100,238813,239475,238015,237423,230001,226960,225807,228026,237618,245448,246442,239338,221073,200188.0
2017-01-19,181679,167040,157919,154735,153902,157206,171573,200903,224109,232742,239481,241543,240604,240769,233706,229912,228646,231191,238475,245423,245587,240419,223925,202634.0
2017-01-20,185101,170295,161393,157457,156382,158827,173626,202991,224041,233684,239822,240852,238385,236242,227523,222648,220345,220288,227260,234473,232982,228657,213620,197167.0
2017-01-21,181555,167507,156645,150552,146651,146404,148350,157611,168287,186621,203603,208442,206549,205923,200297,192076,186622,186321,194554,203850,208151,208070,198789,184978.0
2017-01-22,170450,155504,145133,138873,135576,135939,137625,142228,146467,158147,174015,181165,181176,183532,183089,176343,171866,170126,181614,195618,202699,205471,198092,181486.0
